,sales_rate_comparison,avg_rate_compt,weekday_sazonality_guh,occup_competitors,imat_sp,event_sazonality_guh
2023-05-18,-71.43%,402.11,4,0.6731999999999999,1.004,0
2023-05-19,-64.96%,445.43,5,0.6731999999999999,1.004,0
2023-05-20,-92.83%,428.69,5,0.6731999999999999,1.004,0
2023-05-21,-77.98%,417.49,1,0.6731999999999999,1.004,0
2023-05-22,-84.47%,374.15,2,0.6731999999999999,1.004,0
2023-05-23,-54.29%,461.49,3,0.6731999999999999,1.004,0
2023-05-24,-14.89%,514.41,3,0.6731999999999999,1.004,0
2023-05-25,-100.00%,452.37,4,0.6731999999999999,1.004,1
2023-05-26,-93.70%,488.62,5,0.6731999999999999,1.004,1
2023-05-27,-78.38%,415.90,5,0.6731999999999999,1.004,1
2023-05-28,-89.19%,396.59,1,0.6731999999999999,1.004,1
2023-05-29,-100.00%,367.50,2,0.6731999999999999,1.004,0
2023-05-30,-76.81%,463.01,3,0.6731999999999999,1.004,0
2023-05-31,-74.47%,508.11,3,0.6731999999999999,1.004,0
2023-06-01,-49.61%,522.75,4,0.6872,1.08,0
2023-06-02,-67.79%,540.44,5,0.6872,1.08,0
2023-06-03,-80.68%,520.23,5,0.6872,1.08,1
2023-06-04,-95.81%,468.17,1,0.6872,1.08,2
2023-06-05,-65.96%,477.67,2,0.6872,1.08,2
2023-06-06,-84.16%,385.38,3,0.6872,1.08,2
2023-06-07,-100.00%,436.16,3,0.6872,1.08,2
2023-06-08,-76.92%,480.60,4,0.6872,1.08,2
2023-06-09,-69.52%,505.74,5,0.6872,1.08,2
2023-06-10,-86.55%,519.97,5,0.6872,1.08,2
2023-06-11,-92.08%,438.89,1,0.6872,1.08,2
2023-06-12,-81.90%,435.90,2,0.6872,1.08,0
2023-06-13,-89.74%,382.97,3,0.6872,1.08,0
2023-06-14,-56.36%,503.58,3,0.6872,1.08,0
2023-06-15,-64.71%,534.06,4,0.6872,1.08,0
2023-06-16,-58.97%,460.29,5,0.6872,1.08,0
2023-06-17,-68.00%,516.91,5,0.6872,1.08,0
2023-06-18,-52.54%,506.98,1,0.6872,1.08,0
2023-06-19,-82.70%,430.93,2,0.6872,1.08,0
2023-06-20,-89.38%,441.59,3,0.6872,1.08,0
2023-06-21,-100.00%,447.40,3,0.6872,1.08,0
